epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.448,1.5277,2.57178,1.50817,0.70656,0.463,0.55969,0.2951,1.30772,2.74721,1.32907,0.00031673,0.00031673,0.00031673
2,215.403,1.42262,1.70654,1.3603,0.77921,0.35262,0.5182,0.29156,1.50573,2.53557,1.57468,0.000637257,0.000637257,0.000637257
3,444.713,1.39932,1.5907,1.33679,0.79447,0.68116,0.71126,0.40643,1.48111,1.86303,1.47905,0.000944582,0.000944582,0.000944582
4,545.216,1.37415,1.52289,1.32834,0.6788,0.52733,0.63591,0.32184,1.66592,2.04079,1.70706,0.0012387,0.0012387,0.0012387
5,645.482,1.40644,1.47149,1.34494,0.74633,0.64143,0.7228,0.35502,1.66098,1.95829,1.62418,0.00151962,0.00151962,0.00151962
6,745.551,1.38689,1.39007,1.34005,0.43575,0.44988,0.38925,0.15975,1.8859,2.64365,1.82642,0.00150197,0.00150197,0.00150197
7,845.813,1.34164,1.32833,1.30494,0.60153,0.56755,0.58189,0.30309,1.68747,2.06598,1.66795,0.00146896,0.00146896,0.00146896
8,951.326,1.28206,1.25924,1.26442,0.6997,0.57594,0.66409,0.36813,1.56433,1.7992,1.69326,0.00143595,0.00143595,0.00143595
9,1055.65,1.27974,1.17789,1.2689,0.65943,0.40186,0.46254,0.24814,1.89008,2.2423,1.93108,0.00140295,0.00140295,0.00140295
10,1159.88,1.26171,1.14592,1.25022,0.64344,0.5103,0.55593,0.30517,1.70595,2.03671,1.73477,0.00136994,0.00136994,0.00136994
11,1264.21,1.29518,1.12615,1.27698,0.73395,0.68631,0.76512,0.45684,1.39119,1.53264,1.40309,0.00133693,0.00133693,0.00133693
12,1414.18,1.30063,1.11829,1.29314,0.8727,0.70817,0.83853,0.48173,1.48235,1.42724,1.46448,0.00130393,0.00130393,0.00130393
13,1514.37,1.27543,1.07416,1.27522,0.86641,0.77358,0.87152,0.54732,1.30802,1.21556,1.30413,0.00127092,0.00127092,0.00127092
14,1626.9,1.19914,1.03813,1.22584,0.81539,0.66162,0.80836,0.50074,1.37514,1.38697,1.38659,0.00123791,0.00123791,0.00123791
15,1753.61,1.23101,0.98487,1.24378,0.88435,0.75414,0.86744,0.54126,1.33973,1.13274,1.32866,0.00120491,0.00120491,0.00120491
16,1868.32,1.19745,0.97253,1.2269,0.87514,0.73572,0.87399,0.55482,1.34102,1.06933,1.33661,0.0011719,0.0011719,0.0011719
17,1981.52,1.22085,0.96154,1.21449,0.85821,0.81474,0.87559,0.5579,1.30892,1.07213,1.30794,0.00113889,0.00113889,0.00113889
18,2100.95,1.1406,0.91451,1.17909,0.86991,0.79286,0.86887,0.55602,1.26925,1.02149,1.26257,0.00110589,0.00110589,0.00110589
19,2225.95,1.18851,0.9183,1.1982,0.79906,0.84211,0.89023,0.56978,1.29216,1.04936,1.29364,0.00107288,0.00107288,0.00107288
20,2347.95,1.18224,0.90983,1.19422,0.85932,0.78574,0.88398,0.57653,1.27836,1.03298,1.2882,0.00103987,0.00103987,0.00103987
21,2461.1,1.17976,0.91462,1.21419,0.90429,0.81138,0.89316,0.58002,1.28953,0.97786,1.27437,0.00100687,0.00100687,0.00100687
22,2580.11,1.13012,0.86912,1.17806,0.87194,0.80917,0.90435,0.58409,1.26822,0.95252,1.2558,0.000973861,0.000973861,0.000973861
23,2717.19,1.11837,0.8283,1.15961,0.88151,0.83709,0.91668,0.59602,1.22115,0.87457,1.23092,0.000940855,0.000940855,0.000940855
24,2838.57,1.11201,0.81342,1.15389,0.88232,0.82155,0.89345,0.56754,1.26936,1.0053,1.25757,0.000907848,0.000907848,0.000907848
25,2946.82,1.09661,0.81657,1.16594,0.87987,0.80148,0.90667,0.57722,1.36661,0.92384,1.32905,0.000874842,0.000874842,0.000874842
26,3057.17,1.07546,0.76222,1.13934,0.90539,0.79689,0.92622,0.59871,1.26383,0.89122,1.31232,0.000841835,0.000841835,0.000841835
27,3173.36,1.06363,0.75225,1.12875,0.89927,0.82594,0.9378,0.61875,1.17657,0.85993,1.24507,0.000808828,0.000808828,0.000808828
28,3290.11,1.0848,0.74793,1.14643,0.84498,0.8313,0.89106,0.59152,1.19987,0.93031,1.23433,0.000775822,0.000775822,0.000775822
29,3404.04,1.04051,0.77488,1.12212,0.8535,0.90695,0.94636,0.61727,1.23228,0.85327,1.25302,0.000742815,0.000742815,0.000742815
30,3915.97,1.03123,0.73498,1.11742,0.87993,0.86997,0.95812,0.635,1.17994,0.78152,1.21008,0.000709809,0.000709809,0.000709809
31,4490.48,1.01599,0.7302,1.10608,0.86769,0.88029,0.95418,0.64136,1.1983,0.78172,1.22643,0.000676802,0.000676802,0.000676802
32,5434.34,1.0029,0.69633,1.08967,0.829,0.86834,0.92872,0.60482,1.24318,0.87828,1.28726,0.000643795,0.000643795,0.000643795
33,5543.52,1.0375,0.69923,1.132,0.89612,0.85441,0.94539,0.62335,1.21057,0.75976,1.2099,0.000610789,0.000610789,0.000610789
34,5715.1,0.98951,0.67272,1.09012,0.90238,0.82382,0.93856,0.63717,1.17176,0.75775,1.18549,0.000577782,0.000577782,0.000577782
35,6325.69,0.96363,0.63676,1.08416,0.92201,0.82162,0.92183,0.62407,1.17808,0.77686,1.19633,0.000544776,0.000544776,0.000544776
36,6480.41,0.94988,0.61825,1.0791,0.86678,0.86143,0.9175,0.62419,1.18637,0.74889,1.20505,0.000511769,0.000511769,0.000511769
37,6706.73,0.93435,0.62429,1.07196,0.84009,0.91828,0.91861,0.62708,1.15159,0.7456,1.18653,0.000478762,0.000478762,0.000478762
38,6910.46,0.95552,0.64415,1.09295,0.8623,0.87198,0.9357,0.63162,1.20219,0.75018,1.24297,0.000445756,0.000445756,0.000445756
39,7116.42,0.91866,0.59456,1.06072,0.84213,0.89351,0.93924,0.64393,1.16902,0.72109,1.21431,0.000412749,0.000412749,0.000412749
40,7327.61,0.89358,0.58658,1.04545,0.88455,0.90606,0.94174,0.64682,1.1615,0.70128,1.19792,0.000379743,0.000379743,0.000379743
41,7540.02,0.87077,0.63515,1.03534,0.91709,0.89461,0.94193,0.62897,1.195,0.74494,1.22719,0.000346736,0.000346736,0.000346736
42,7749.82,0.86522,0.55219,1.03168,0.89588,0.91075,0.95348,0.65003,1.15976,0.72392,1.20102,0.000313729,0.000313729,0.000313729
43,7960.4,0.84037,0.49976,1.04153,0.83442,0.92867,0.94486,0.63702,1.16107,0.7053,1.20191,0.000280723,0.000280723,0.000280723
44,8172.87,0.80598,0.49722,0.98968,0.90178,0.86014,0.94656,0.65264,1.1257,0.71772,1.15904,0.000247716,0.000247716,0.000247716
45,8323.81,0.79161,0.48044,0.99245,0.85787,0.89627,0.94984,0.65638,1.14467,0.68904,1.16783,0.00021471,0.00021471,0.00021471
46,8440.43,0.7787,0.4717,0.98663,0.86171,0.89332,0.9558,0.66729,1.1351,0.66333,1.15783,0.000181703,0.000181703,0.000181703
47,8566.38,0.75527,0.46035,0.97734,0.85494,0.94942,0.95649,0.66055,1.13968,0.66058,1.1592,0.000148696,0.000148696,0.000148696
48,8701.5,0.74659,0.45024,0.97206,0.91501,0.85213,0.95892,0.66676,1.1226,0.6603,1.15613,0.00011569,0.00011569,0.00011569
49,8826.39,0.718,0.43547,0.96219,0.91936,0.85713,0.964,0.66753,1.11924,0.64983,1.15265,8.26832e-05,8.26832e-05,8.26832e-05
50,8949.5,0.73906,0.44317,0.97692,0.89569,0.89215,0.96472,0.6672,1.12668,0.64146,1.15648,4.96766e-05,4.96766e-05,4.96766e-05
